ffopt_energy_init,ffopt_energy_final,ffopt_success,ffopt_reason
3573.1912879132997,90.57734774943096,True,
2160.0187416125227,81.59621283737286,True,
,,False,FF_FAIL
2113.113136171023,63.17171020774922,True,
3887.030667153561,65.74852151428144,True,
2588.488746738304,107.99626592114107,True,
,,False,FF_FAIL
,,False,FF_FAIL
1447.0031809951763,-35.024935164986395,True,
2750.799002045601,60.87007834819829,True,
972.0291395811591,76.75086721036463,True,
,,False,FF_FAIL
1263.1927072099693,-73.2610093380849,True,
1400.529778904998,56.5304006251525,True,
1086.1320635270324,-86.51584761395404,True,
,,False,FF_FAIL
,,False,FF_FAIL
,,False,FF_FAIL
,,False,FF_FAIL
2453.491340792093,115.44652464002769,True,
,,False,FF_FAIL
1046.4903504845056,-9.659051192576587,True,
,,False,FF_FAIL
1445.3786419985427,98.67952555551803,True,
4090.4877849868394,83.8932201439212,True,
,,False,FF_FAIL
1394.539036433532,29.346692863219637,True,
,,False,FF_FAIL
3574.956464080466,83.79285730088043,True,
932.1492654994973,74.64812489681272,True,
,,False,FF_FAIL
,,False,FF_FAIL
,,False,FF_FAIL
5900.658986545833,18.940120809449617,True,
,,False,FF_FAIL
3523.86496799362,19.364436389996232,True,
2949.0476292255717,-18.375917525746924,True,
2750.252617868364,83.25398030905164,True,
2790.9591061096,113.06523310318202,True,
,,False,FF_FAIL
4108.8777407945045,127.62225642408956,True,
,,False,FF_FAIL
1996.7460199387342,110.57018461432726,True,
1556.7422584381986,30.587111094645877,True,
1735.7501231633985,29.388359958364763,True,
,,False,FF_FAIL
8211.236308391832,-153.86034205038504,True,
2930.83110394828,79.39266321017283,True,
3784.4566075220496,103.31186948248852,True,
2351.734657768674,80.29453612212075,True,
5222.833940510074,101.14387828186004,True,
2784.8716826952987,140.4812556846462,True,
,,False,FF_FAIL
1648.6751053976623,59.62942293998169,True,
6430.773514192295,33.27440802297837,True,
,,False,FF_FAIL
1922.764891128513,97.70026622711418,True,
2636.216688346782,74.18709996023928,True,
,,False,FF_FAIL
8813.467466946395,97.0948821308948,True,
4446.269115232866,101.09279177710206,True,
,,False,FF_FAIL
4069.5290073806163,10.263328953957473,True,
23453.428152322624,25.034903421567478,True,
2931.9477353597326,72.58762796732374,True,
6201.446750821087,104.68419494093543,True,
2062.9587985769826,66.05966511566047,True,
9977.290215808225,90.34501068226331,True,
3642.7471793705336,54.53782264644172,True,
2664.74849442813,76.56378575984233,True,
,,False,FF_FAIL
,,False,FF_FAIL
947.1281294153333,-20.759584365100388,True,
2013.8973227561232,50.200546566043606,True,
2772.2011098035514,70.04385331070051,True,
3286.98940280405,-62.12967635640538,True,
1521.753315410905,66.10153546002256,True,
31411.373199371104,130.28124041297767,True,
2737.4796093742543,83.6790425127779,True,
1069.9722067310627,48.53688763324275,True,
,,False,FF_FAIL
,,False,FF_FAIL
1551.267294399538,54.53474369665188,True,
,,False,FF_FAIL
3932.140253114349,77.55668313534328,True,
987.1169767898346,47.26381418217866,True,
11674.888926197986,65.47903167007867,True,
1143.2355811312946,6.9138825448832595,True,
8559.722604583912,28.19897282940655,True,
,,False,FF_FAIL
599.5740329661663,-36.052578350906785,True,
,,False,FF_FAIL
,,False,FF_FAIL
,,False,FF_FAIL
2944.6526656085216,101.29499113218914,True,
,,False,FF_FAIL
3777.4007283350206,68.96621948346689,True,
,,False,FF_FAIL
3464.2293820005107,32.48917712054082,True,
,,False,FF_FAIL
